"File","Difference","SideIndicator"
"RT-EDGE-01.conf","! Router Configuration - RT-EDGE-01","=>"
"RT-EDGE-01.conf","! Last modified: 2024-10-14 08:45:23","=>"
"RT-EDGE-01.conf","! Location: Huvudkontor","=>"
"RT-EDGE-01.conf","hostname RT-EDGE-01","=>"
"RT-EDGE-01.conf","enable secret 5 $1$mERr$hx5rVt7rrb6Jg8yUqzPHr0","=>"
"RT-EDGE-01.conf","interface GigabitEthernet0/0","=>"
"RT-EDGE-01.conf"," description WAN_PRIMARY_LINK","=>"
"RT-EDGE-01.conf"," ip address 203.0.113.1 255.255.255.252","=>"
"RT-EDGE-01.conf"," no shutdown","=>"
"RT-EDGE-01.conf","interface GigabitEthernet0/1","=>"
"RT-EDGE-01.conf"," description LAN_HUVUDKONTOR","=>"
"RT-EDGE-01.conf"," ip address 192.168.1.1 255.255.255.0","=>"
"RT-EDGE-01.conf"," no shutdown","=>"
"RT-EDGE-01.conf","ip route 0.0.0.0 0.0.0.0 203.0.113.2","=>"
"RT-EDGE-01.conf","ip route 192.168.2.0 255.255.255.0 192.168.1.254","=>"
"RT-EDGE-01.conf","ip route 192.168.3.0 255.255.255.0 192.168.1.253","=>"
"RT-EDGE-01.conf","access-list 100 permit tcp any any eq 22","=>"
"RT-EDGE-01.conf","access-list 100 permit tcp any any eq 23","=>"
"RT-EDGE-01.conf","access-list 100 deny ip any any log","=>"
"RT-EDGE-01.conf","snmp-server community public RO","=>"
"RT-EDGE-01.conf","snmp-server community private RW","=>"
"RT-EDGE-01.conf","snmp-server host 192.168.1.100","=>"
"RT-EDGE-01.conf","!","=>"
"RT-EDGE-01.conf","logging host 192.168.1.50","=>"
"RT-EDGE-01.conf","!","=>"
"RT-EDGE-01.conf","line vty 0 4","=>"
"RT-EDGE-01.conf"," password 7 0822455D0A16","=>"
"RT-EDGE-01.conf"," login","=>"
"RT-EDGE-01.conf","!","=>"
"RT-EDGE-01.conf","! BASELINE Router Configuration Template","<="
"RT-EDGE-01.conf","! All routers should follow this standard","<="
"RT-EDGE-01.conf","service password-encryption","<="
"RT-EDGE-01.conf","no ip http server","<="
"RT-EDGE-01.conf","no ip http secure-server","<="
"RT-EDGE-01.conf","snmp-server community [COMPLEX-STRING] RO","<="
"RT-EDGE-01.conf","logging host [SYSLOG-SERVER]","<="
"RT-EDGE-01.conf","ntp server [NTP-SERVER]","<="
"RT-EDGE-01.conf","banner login ^C","<="
"RT-EDGE-01.conf","Authorized access only. All activity is monitored.","<="
"RT-EDGE-01.conf","^C","<="
"RT-EDGE-02.conf","! Router Configuration - RT-EDGE-02","=>"
"RT-EDGE-02.conf","! Last modified: 2024-10-10 14:22:10","=>"
"RT-EDGE-02.conf","! Location: Huvudkontor - Backup","=>"
"RT-EDGE-02.conf","hostname RT-EDGE-02","=>"
